Number,Name,Nationality,Date of Birth,Weight,Height,Position,2020/2021,2019/2020,2018/2019,2021/2022
1,Bernd Leno,Germany,04-03-92,83kg,190cm,Goalkeeper,Arsenal,Arsenal,Arsenal,Arsenal
20,Nuno Tavares,Portugal,26-01-00,75kg,183cm,Defender,,,,Arsenal
3,Kieran Tierney,Scotland,05-06-97,70kg,178cm,Defender,Arsenal,Arsenal,,Arsenal
32,Aaron Ramsdale,England,14-05-98,77kg,188cm,Goalkeeper,Sheffield Utd,Bournemouth,Bournemouth,Arsenal
33,Arthur Okonkwo,England,09-09-01,,198cm,Goalkeeper,Arsenal,,,Arsenal
16,Rob Holding,England,20-09-95,75kg,189cm,Defender,Arsenal,Arsenal,Arsenal,Arsenal
17,Cédric Soares,Portugal,31-08-91,67kg,172cm,Defender,Arsenal,Arsenal  (Loan) ,Southampton,Arsenal
6,Gabriel Magalhães,Brazil,19-12-97,78kg,190cm,Defender,Arsenal,,,Arsenal
4,Benjamin White,England,08-10-97,78kg,182cm,Defender,Brighton,Leeds  (Loan) ,Brighton,Arsenal
18,Takehiro Tomiyasu,Japan,05-11-98,70kg,188cm,Defender,,,,Arsenal
75,Zach Awe,England,09-01-04,,,Defender,,,,Arsenal
10,Emile Smith Rowe,England,28-07-00,79kg,182cm,Midfielder,Arsenal,Arsenal,Arsenal,Arsenal
61,Mazeed Ogungbo,Ireland,20-10-02,,,Defender,,,,Arsenal
25,Mohamed Elneny,Egypt,11-07-92,70kg,180cm,Midfielder,Arsenal,Arsenal,Arsenal,Arsenal
7,Bukayo Saka,England,05-09-01,65kg,178cm,Midfielder,Arsenal,Arsenal,Arsenal,Arsenal
69,Zak Swanson,England,28-09-00,,,Defender,,,,Arsenal
5,Thomas Partey,Ghana,13-06-93,77kg,185cm,Midfielder,Arsenal,,,Arsenal
34,Granit Xhaka,Switzerland,27-09-92,82kg,185cm,Midfielder,Arsenal,Arsenal,Arsenal,Arsenal
23,Albert Sambi Lokonga,Belgium,22-10-99,67kg,173cm,Midfielder,,,,Arsenal
8,Martin Ødegaard,Norway,17-12-98,68kg,178cm,Midfielder,Arsenal  (Loan) ,Arsenal  (Loan) ,,Arsenal
65,Salah-Eddine Oulad M'hand,Netherlands,20-08-03,,,Midfielder,,,,Arsenal
87,Charlie Patino,England,17-10-03,,,Midfielder,,,,Arsenal
78,Marcelo Flores,Mexico,01-10-03,,,Midfielder,,,,Arsenal
